,country,range,Voter turnout (highest score=1),Freedom of Religion (highest score=1),Urban population (% of total population),ethnicity_ratio,economic_stability_index,political_social_index,change,year
271,Sweden,2010.0-2014.0,0.83,0.955,85.775,1.0,-1.3406357831791906,0.3687320490814211,True,2014.0
272,Sweden,2014.0-2018.0,0.8274999999999999,0.9450000000000001,86.99549999999999,1.0,-0.5711683278385925,0.32234027345144156,False,2018.0
273,Sweden,2018.0-2022.0,0.815,1.0,88.10375,1.0,-0.6576218180488129,0.3289168899574182,True,2022.0
274,Switzerland,1990.0-1995.0,0.38166666666666665,0.9583333333333334,73.789,0.63,-2.3471639569886276,0.3399986328749148,True,1995.0
275,Switzerland,1995.0-1999.0,0.34,0.98,73.519,0.63,-0.6229046214240692,0.35343042217976695,False,1999.0
276,Switzerland,1999.0-2003.0,0.34500000000000003,0.9475,73.3965,0.63,-1.4312896577113308,0.3669430811850529,True,2003.0
277,Switzerland,2003.0-2007.0,0.3675,0.8825,73.491,0.63,0.5168839219889569,0.3765621054896371,False,2007.0
278,Switzerland,2007.0-2011.0,0.39,0.85,73.59375,0.63,-1.8945563996331218,0.39972404128613065,False,2011.0
279,Switzerland,2011.0-2015.0,0.3875,0.8,73.68525,0.63,-1.524203116642802,0.4088945372797441,False,2015.0
280,Switzerland,2015.0-2019.0,0.3725,0.8,73.7865,0.63,-1.1321231340680535,0.41386620238567784,False,2019.0
281,Switzerland,2019.0-2023.0,0.33024030032102014,0.8323587170479004,74.05125,0.6300000000000001,-0.8216757460738097,0.4112612780102457,False,2023.0
282,Turkey,1990.0-1995.0,0.8183333333333334,0.48,60.74416666666667,0.75,0.3661860880390637,-1.3061362902637954,True,1995.0
283,Turkey,1995.0-1999.0,0.7925,0.49,63.4395,0.75,-0.2143782355260545,-1.263401157080417,True,1999.0
284,Turkey,1999.0-2002.0,0.7866666666666667,0.5033333333333333,65.35166666666667,0.75,-1.0371732412958725,-1.0750038942355515,True,2002.0
