country,year,group,size
Poland,2011,Poles,0.96
Poland,2012,Poles,0.96
Poland,2013,Poles,0.96
Poland,2014,Poles,0.96
Poland,2015,Poles,0.96
Poland,2016,Poles,0.96
Poland,2017,Poles,0.96
Poland,2018,Poles,0.96
Poland,2019,Poles,0.96
Poland,2020,Poles,0.96
Poland,2021,Poles,0.96
Australia,1990,Whites,0.84
Australia,1991,Whites,0.84
Australia,1992,Whites,0.84
Australia,1993,Whites,0.84
Australia,1994,Whites,0.84
Australia,1995,Whites,0.84
Australia,1996,Whites,0.84
Australia,1997,Whites,0.84
Australia,1998,Whites,0.84
Australia,1999,Whites,0.84
Australia,2000,Whites,0.84
Australia,2001,Whites,0.84
Australia,2002,Whites,0.84
Australia,2003,Whites,0.84
Australia,2004,Whites,0.84
Australia,2005,Whites,0.84
Australia,2006,Whites,0.84
Australia,2007,Whites,0.84
Australia,2008,Whites,0.84
Australia,2009,Whites,0.84
Australia,2010,Whites,0.84
Australia,2011,Whites,0.84
Australia,2012,Whites,0.84
Australia,2013,Whites,0.84
Australia,2014,Whites,0.84
Australia,2015,Whites,0.84
Australia,2016,Whites,0.84
Australia,2017,Whites,0.84
Australia,2018,Whites,0.84
Australia,2019,Whites,0.84
Australia,2020,Whites,0.84
Australia,2021,Whites,0.84
Slovenia,1990,N/A,0.0
Slovenia,1991,N/A,0.0
Slovenia,1992,Slovenes,0.831
Slovenia,1993,Slovenes,0.831
Slovenia,1994,Slovenes,0.831
Slovenia,1995,Slovenes,0.831
Slovenia,1996,Slovenes,0.831
Slovenia,1997,Slovenes,0.831
Slovenia,1998,Slovenes,0.831
Slovenia,1999,Slovenes,0.831
Slovenia,2000,Slovenes,0.831
Slovenia,2001,Slovenes,0.831
Slovenia,2002,Slovenes,0.831
Slovenia,2003,Slovenes,0.831
Slovenia,2004,Slovenes,0.831
Slovenia,2005,Slovenes,0.831
Slovenia,2006,Slovenes,0.831
Slovenia,2007,Slovenes,0.831
Slovenia,2008,Slovenes,0.831
Slovenia,2009,Slovenes,0.831
Slovenia,2010,Slovenes,0.831
Slovenia,2011,Slovenes,0.831
Slovenia,2012,Slovenes,0.831
Slovenia,2013,Slovenes,0.831
Slovenia,2014,Slovenes,0.831
Slovenia,2015,Slovenes,0.831
Slovenia,2016,Slovenes,0.831
Slovenia,2017,Slovenes,0.831
Slovenia,2018,Slovenes,0.831
Slovenia,2019,Slovenes,0.831
Slovenia,2020,Slovenes,0.831
Slovenia,2021,Slovenes,0.831
New Zealand,1990,New Zealanders,0.75
New Zealand,1991,New Zealanders,0.75
New Zealand,1992,New Zealanders,0.75
New Zealand,1993,New Zealanders,0.75
New Zealand,1994,New Zealanders,0.75
New Zealand,1995,New Zealanders,0.75
New Zealand,1996,New Zealanders,0.676
New Zealand,1997,New Zealanders,0.676
New Zealand,1998,New Zealanders,0.676
New Zealand,1999,New Zealanders,0.676
New Zealand,2000,New Zealanders,0.676
New Zealand,2001,New Zealanders,0.676
New Zealand,2002,New Zealanders,0.676
New Zealand,2003,New Zealanders,0.676
New Zealand,2004,New Zealanders,0.676
New Zealand,2005,New Zealanders,0.676
New Zealand,2006,New Zealanders,0.676
New Zealand,2007,New Zealanders,0.676
New Zealand,2008,New Zealanders,0.676
New Zealand,2009,New Zealanders,0.676
New Zealand,2010,New Zealanders,0.676
New Zealand,2011,New Zealanders,0.676
New Zealand,2012,New Zealanders,0.676
New Zealand,2013,New Zealanders,0.676
New Zealand,2014,New Zealanders,0.676
New Zealand,2015,New Zealanders,0.676
New Zealand,2016,New Zealanders,0.676
New Zealand,2017,New Zealanders,0.676
New Zealand,2018,New Zealanders,0.676
New Zealand,2019,New Zealanders,0.676
New Zealand,2020,New Zealanders,0.676
New Zealand,2021,New Zealanders,0.676
Luxembourg,1990,Luxembourgers,0.533
Luxembourg,1991,Luxembourgers,0.533
Luxembourg,1992,Luxembourgers,0.533
Luxembourg,1993,Luxembourgers,0.533
Luxembourg,1994,Luxembourgers,0.533
Luxembourg,1995,Luxembourgers,0.533
Luxembourg,1996,Luxembourgers,0.533
Luxembourg,1997,Luxembourgers,0.533
Luxembourg,1998,Luxembourgers,0.533
Luxembourg,1999,Luxembourgers,0.533
Luxembourg,2000,Luxembourgers,0.533
Luxembourg,2001,Luxembourgers,0.533
Luxembourg,2002,Luxembourgers,0.533
Luxembourg,2003,Luxembourgers,0.533
Luxembourg,2004,Luxembourgers,0.533
Luxembourg,2005,Luxembourgers,0.533
Luxembourg,2006,Luxembourgers,0.533
Luxembourg,2007,Luxembourgers,0.533
Luxembourg,2008,Luxembourgers,0.533
Luxembourg,2009,Luxembourgers,0.533
Luxembourg,2010,Luxembourgers,0.533
Luxembourg,2011,Luxembourgers,0.533
Luxembourg,2012,Luxembourgers,0.533
Luxembourg,2013,Luxembourgers,0.533
Luxembourg,2014,Luxembourgers,0.533
Luxembourg,2015,Luxembourgers,0.533
Luxembourg,2016,Luxembourgers,0.533
Luxembourg,2017,Luxembourgers,0.533
Luxembourg,2018,Luxembourgers,0.533
Luxembourg,2019,Luxembourgers,0.533
Luxembourg,2020,Luxembourgers,0.533
Luxembourg,2021,Luxembourgers,0.533
